player_id,player_name,team_id,team,position,height(in),weight(lbs),jersey_number,wingspan
201973,jonas jerebko,1610612738,BOS,PF,82,231,8,
203503,tony snell,1610612741,CHI,SF,79,198,20,83.5
2590,mo williams,1610612739,CLE,PG,73,195,52,77.5
203460,andre roberson,1610612760,OKC,SG,79,206,21,83.0
2746,josh smith,1610612746,LAC,PF,81,225,5,84.0
2746,josh smith,1610612745,HOU,PF,81,225,5,84.0
201943,brandon jennings,1610612765,DET,PG,73,169,7,
201943,brandon jennings,1610612753,ORL,PG,73,169,55,
101179,ronnie price,1610612756,PHO,PG,74,184,14,77.5
203613,jonathon simmons,1610612759,SAS,SG,78,185,17,
202332,cole aldrich,1610612746,LAC,C,83,245,45,88.75
202337,luke babbitt,1610612740,NOP,SF,81,225,8,83.25
203501,tim hardaway jr,1610612737,ATL,SG,78,185,10,79.0
202087,alonzo gee,1610612740,NOP,SF,78,219,15,
201564,oj mayo,1610612749,MIL,SG,76,210,3,78.0
203105,festus ezeli,1610612744,GSW,C,83,255,31,89.75
101111,charlie villanueva,1610612742,DAL,PF,83,232,3,84.25
204020,tyler johnson,1610612748,MIA,SG,76,190,8,
203101,miles plumlee,1610612749,MIL,C,83,255,18,84.75
202697,iman shumpert,1610612739,CLE,SG,77,220,4,81.5
203124,kyle oquinn,1610612752,NYK,PF,82,240,9,88.75
202357,nemanja bjelica,1610612750,MIN,PF,82,240,88,
203112,quincy acy,1610612758,SAC,PF,79,225,13,86.75
203080,thomas robinson,1610612751,BRK,PF,82,237,41,87.25
201575,brandon rush,1610612744,GSW,SG,78,210,4,83.25
200745,andrea bargnani,1610612751,BRK,C,84,256,9,
2405,amare stoudemire,1610612748,MIA,C,83,245,5,85.75
203552,seth curry,1610612758,SAC,PG,75,179,30,76.0
2749,jameer nelson,1610612743,DEN,PG,72,190,1,74.5
1626246,boban marjanovic,1610612759,SAS,C,87,290,40,
2756,sasha vujacic,1610612752,NYK,SG,79,205,18,77.5
1626158,richaun holmes,1610612755,PHI,PF,82,245,22,85.5
201949,james johnson,1610612761,TOR,PF,81,245,3,84.75
201960,demarre carroll,1610612761,TOR,SF,80,212,5,82.0
1626166,cameron payne,1610612760,OKC,PG,75,185,22,79.25
203943,noah vonleh,1610612757,POR,PF,82,242,21,88.25
1626181,norman powell,1610612761,TOR,SG,76,215,24,82.75
201978,chase budinger,1610612754,IND,SF,79,218,10,79.0
201978,chase budinger,1610612756,PHO,SF,79,218,10,79.0
201600,omer asik,1610612740,NOP,C,84,255,3,
203994,jusuf nurkic,1610612743,DEN,C,83,280,23,
204025,tim frazier,1610612757,POR,PG,73,170,10,
204025,tim frazier,1610612740,NOP,PG,73,170,2,
201563,michael beasley,1610612745,HOU,PF,82,235,8,84.25
203473,dewayne dedmon,1610612753,ORL,C,84,255,3,88.0
2581,steve blake,1610612765,DET,PG,75,172,22,
203524,solomon hill,1610612754,IND,SF,79,226,44,81.0
203584,troy daniels,1610612766,CHA,SG,78,204,30,
203200,justin holiday,1610612737,ATL,SG,78,185,7,
203200,justin holiday,1610612741,CHI,SG,78,185,7,
1626273,marcelo huertas,1610612747,LAL,PG,75,205,9,
203546,ian clark,1610612744,GSW,SG,75,173,21,
1626162,kelly oubre jr,1610612764,WAS,SF,79,200,12,
201601,luc mbah a moute,1610612746,LAC,PF,80,230,12,86.5
202713,kyle singler,1610612760,OKC,SF,80,230,5,82.1
202700,donatas motiejunas,1610612745,HOU,PF,84,222,20,
2399,mike dunleavy,1610612741,CHI,SF,81,230,34,81.0
2419,tayshaun prince,1610612750,MIN,SF,81,215,12,
1626173,rashad vaughn,1610612749,MIL,SG,78,210,20,79.0
203481,jeff withey,1610612762,UTA,C,84,222,24,86.0
1626147,justin anderson,1610612742,DAL,SF,78,225,1,83.75
203898,tyler ennis,1610612749,MIL,PG,74,180,11,79.25
201581,jj hickson,1610612743,DEN,C,81,242,7,
201581,jj hickson,1610612764,WAS,C,81,242,21,
203187,chris johnson,1610612762,UTA,SF,83,230,23,
2757,beno udrih,1610612763,MEM,PG,75,203,19,76.5
2757,beno udrih,1610612748,MIA,PG,75,203,19,76.5
203148,brian roberts,1610612766,CHA,PG,73,180,22,73.25
203148,brian roberts,1610612757,POR,PG,73,180,2,73.25
203894,shabazz napier,1610612753,ORL,PG,73,182,13,75.25
201168,tiago splitter,1610612737,ATL,C,83,240,11,86.0
203948,johnny obryant iii,1610612749,MIL,PF,81,256,77,86.25
203488,mike muscala,1610612737,ATL,C,83,230,31,85.0
202338,kevin seraphin,1610612752,NYK,C,81,275,1,
203186,willie reed,1610612751,BRK,C,81,220,33,
202341,james anderson,1610612758,SAC,SG,78,215,5,80.5
2592,james jones,1610612739,CLE,SF,80,215,1,86.5
203098,john jenkins,1610612742,DAL,SG,76,215,12,80.5
203098,john jenkins,1610612756,PHO,SG,76,215,23,80.5
1897,metta world peace,1610612747,LAL,SF,79,245,37,
201580,javale mcgee,1610612742,DAL,C,84,252,11,90.0
203922,glenn robinson iii,1610612754,IND,SF,78,220,40,82.0
1626178,rondae hollisjefferson,1610612751,BRK,SF,79,212,24,86.0
203516,james ennis iii,1610612748,MIA,SF,79,201,32,
203516,james ennis iii,1610612763,MEM,SF,79,201,8,
203516,james ennis iii,1610612740,NOP,SF,79,201,4,
1626145,tyus jones,1610612750,MIN,PG,73,190,1,77.0
1626202,joe young,1610612754,IND,PG,76,180,1,
1626185,jarell martin,1610612763,MEM,PF,81,239,10,81.0
1626199,darrun hilliard,1610612765,DET,SG,78,215,6,
203527,ryan kelly,1610612747,LAL,PF,84,228,4,83.5
